from,to,weight,relationship,time
HG,1,,,
1,RG,,,
RG,HEG,,,
HEG,CG,,,
CG,STB,,,
STB,EGM,,,
HG,2,,,
2,HEG,,,
HEG,CG,,,
CG,STB,,,
STB,GL,,,
HG,3,,,
3,HEG,,,
HEG,CG,,,
CG,STB,,,
STB,GL,,,
HG,4,,,
4,RG,,,
HEG,CG,,,
CG,STB,,,
STB,EPR,,,
HEG,CG,,,
CG,STB,,,
